Tm,Year,GamesWon
ARI,2018,31
ATL,2018,35
BAL,2018,17
BOS,2018,41
CHC,2018,33
CHW,2018,18
CIN,2018,21
CLE,2018,30
COL,2018,30
DET,2018,29
HOU,2018,37
KCR,2018,21
LAA,2018,33
LAD,2018,29
MIA,2018,20
MIL,2018,37
MIN,2018,25
NYM,2018,27
NYY,2018,38
OAK,2018,31
PHI,2018,31
PIT,2018,30
SDP,2018,28
SFG,2018,30
SEA,2018,37
STL,2018,32
TBR,2018,28
TEX,2018,25
TOR,2018,26
WSN,2018,33
ARI,2017,93
ATL,2017,72
BAL,2017,75
BOS,2017,93
CHC,2017,92
CHW,2017,67
CIN,2017,68
CLE,2017,102
COL,2017,87
DET,2017,64
HOU,2017,101
KCR,2017,80
LAA,2017,80
LAD,2017,104
MIA,2017,77
MIL,2017,86
MIN,2017,85
NYM,2017,70
NYY,2017,91
OAK,2017,75
PHI,2017,66
PIT,2017,75
SDP,2017,71
SFG,2017,64
SEA,2017,78
STL,2017,83
TBR,2017,80
TEX,2017,78
TOR,2017,76
WSN,2017,97
ARI,2016,69
ATL,2016,68
BAL,2016,89
BOS,2016,93
CHC,2016,103
CHW,2016,78
CIN,2016,68
CLE,2016,94
COL,2016,75
DET,2016,86
HOU,2016,84
KCR,2016,81
LAA,2016,74
LAD,2016,91
MIA,2016,79
MIL,2016,73
MIN,2016,59
NYM,2016,87
NYY,2016,84
OAK,2016,69
PHI,2016,71
PIT,2016,78
SDP,2016,68
SFG,2016,87
SEA,2016,86
STL,2016,86
TBR,2016,68
TEX,2016,95
TOR,2016,89
WSN,2016,95
ARI,2015,79
ATL,2015,67
BAL,2015,81
BOS,2015,78
CHC,2015,97
CHW,2015,76
CIN,2015,64
CLE,2015,81
COL,2015,68
DET,2015,74
HOU,2015,86
KCR,2015,95
LAA,2015,85
LAD,2015,92
MIA,2015,71
MIL,2015,68
MIN,2015,83
NYM,2015,90
NYY,2015,87
OAK,2015,68
PHI,2015,63
PIT,2015,98
SDP,2015,74
SFG,2015,84
SEA,2015,76
STL,2015,100
TBR,2015,80
TEX,2015,88
TOR,2015,93
WSN,2015,83
ARI,2014,64
ATL,2014,79
BAL,2014,96
BOS,2014,71
CHC,2014,73
CHW,2014,73
CIN,2014,76
CLE,2014,85
COL,2014,66
DET,2014,90
HOU,2014,70
KCR,2014,89
LAA,2014,98
LAD,2014,94
MIA,2014,77
MIL,2014,82
MIN,2014,70
NYM,2014,79
NYY,2014,84
OAK,2014,88
PHI,2014,73
PIT,2014,88
SDP,2014,77
SFG,2014,88
SEA,2014,87
STL,2014,90
TBR,2014,77
TEX,2014,67
TOR,2014,83
WSN,2014,96
ARI,2013,81
ATL,2013,96
BAL,2013,85
BOS,2013,97
CHC,2013,66
CHW,2013,63
CIN,2013,90
CLE,2013,92
COL,2013,74
DET,2013,93
HOU,2013,51
KCR,2013,86
LAA,2013,78
LAD,2013,92
MIA,2013,62
MIL,2013,74
MIN,2013,66
NYM,2013,74
NYY,2013,85
OAK,2013,96
PHI,2013,73
PIT,2013,94
SDP,2013,76
SFG,2013,76
SEA,2013,71
STL,2013,97
TBR,2013,92
TEX,2013,91
TOR,2013,74
WSN,2013,86
ARI,2012,81
ATL,2012,94
BAL,2012,93
BOS,2012,69
CHC,2012,61
CHW,2012,85
CIN,2012,97
CLE,2012,68
COL,2012,64
DET,2012,88
HOU,2012,55
KCR,2012,72
LAA,2012,89
LAD,2012,86
MIA,2012,69
MIL,2012,83
MIN,2012,66
NYM,2012,74
NYY,2012,95
OAK,2012,94
PHI,2012,81
PIT,2012,79
SDP,2012,76
SFG,2012,94
SEA,2012,75
STL,2012,88
TBR,2012,90
TEX,2012,93
TOR,2012,73
WSN,2012,98
ARI,2011,94
ATL,2011,89
BAL,2011,69
BOS,2011,90
CHC,2011,71
CHW,2011,79
CIN,2011,79
CLE,2011,80
COL,2011,73
DET,2011,95
HOU,2011,56
KCR,2011,71
LAA,2011,86
LAD,2011,82
MIA,2011,72
MIL,2011,96
MIN,2011,63
NYM,2011,77
NYY,2011,97
OAK,2011,74
PHI,2011,102
PIT,2011,72
SDP,2011,71
SFG,2011,86
SEA,2011,67
STL,2011,90
TBR,2011,91
TEX,2011,96
TOR,2011,81
WSN,2011,80
ARI,2010,65
ATL,2010,91
BAL,2010,66
BOS,2010,89
CHC,2010,75
CHW,2010,88
CIN,2010,91
CLE,2010,69
COL,2010,83
DET,2010,81
HOU,2010,76
KCR,2010,67
LAA,2010,80
LAD,2010,80
MIA,2010,80
MIL,2010,77
MIN,2010,94
NYM,2010,79
NYY,2010,95
OAK,2010,81
PHI,2010,97
PIT,2010,57
SDP,2010,90
SFG,2010,92
SEA,2010,61
STL,2010,86
TBR,2010,96
TEX,2010,90
TOR,2010,85
WSN,2010,69
ARI,2009,70
ATL,2009,86
BAL,2009,64
BOS,2009,95
CHC,2009,83
CHW,2009,79
CIN,2009,78
CLE,2009,65
COL,2009,92
DET,2009,86
HOU,2009,74
KCR,2009,65
LAA,2009,97
LAD,2009,95
MIA,2009,87
MIL,2009,80
MIN,2009,87
NYM,2009,70
NYY,2009,103
OAK,2009,75
PHI,2009,93
PIT,2009,62
SDP,2009,75
SFG,2009,88
SEA,2009,85
STL,2009,91
TBR,2009,84
TEX,2009,87
TOR,2009,75
WSN,2009,59
ARI,2008,82
ATL,2008,72
BAL,2008,68
BOS,2008,95
CHC,2008,97
CHW,2008,89
CIN,2008,74
CLE,2008,81
COL,2008,74
DET,2008,74
HOU,2008,86
KCR,2008,75
LAA,2008,100
LAD,2008,84
MIA,2008,84
MIL,2008,90
