Year,Tm
2017,HOU
2017,LAD
2017,CHC
2017,ARI
2017,WSN
2017,COL
2017,NYY
2017,CLE
2017,BOS
2017,MIN
2016,CHC
2016,CLE
2016,LAD
2016,SFG
2016,WSN
2016,NYM
2016,TOR
2016,TEX
2016,BOS
2016,BAL
2015,KCR
2015,NYM
2015,CHC
2015,STL
2015,LAD
2015,PIT
2015,TOR
2015,HOU
2015,TEX
2015,NYY
2014,SFG
2014,KCR
2014,STL
2014,WSN
2014,LAD
2014,PIT
2014,BAL
2014,LAA
2014,DET
2014,OAK
2013,BOS
2013,STL
2013,LAD
2013,PIT
2013,ATL
2013,CIN
2013,DET
2013,TBR
2013,OAK
2013,CLE
2012,SFG
2012,DET
2012,STL
2012,WSN
2012,CIN
2012,ATL
2012,DET
2012,NYY
2012,BAL
2012,OAK
2012,TEX
2011,STL
2011,TEX
2011,MIL
2011,PHI
2011,ARI
2011,DET
2011,NYY
2011,TBR
2010,SFG
2010,TEX
2010,PHI
2010,CIN
2010,ATL
2010,NYY
2010,TBR
2010,MIN
2009,NYY
2009,PHI
2009,LAD
2009,STL
2009,COL
2009,LAA
2009,MIN
2009,BOS
2008,PHI
2008,TBR
2008,BOS
2008,LAD
2008,LAA
2008,CHW
2008,CHC
2008,MIL
2007,BOS
2007,COL
2007,CLE
2007,ARI
2007,LAA
2007,NYY
2007,CHC
2007,PHI
2006,STL
2006,DET
2006,OAK
2006,NYM
2006,NYY
2006,MIN
2006,LAD
2006,SDP
2005,CHW
2005,HOU
2005,LAA
2005,STL
2005,BOS
2005,NYY
2005,SDP
2005,ATL
2004,HOU
2004,LAA
2004,STL
2004,BOS
2004,NYY
2004,SDP
2004,ATL
2003,MIA
2003,NYY
2003,BOS
2003,CHC
2003,MIN
2003,OAK
2003,SFG
2003,ATL
2002,LAA
2002,SFG
2002,MIN
2002,STL
2002,NYY
2002,OAK
2002,ATL
2002,ARI
2001,ARI
2001,NYY
2001,SEA
2001,ATL
2001,CLE
2001,OAK
2001,HOU
2001,STL
2000,NYY
2000,NYM
2000,SEA
2000,STL
2000,OAK
2000,CHW
2000,ATL
2000,SFG
1999,NYY
1999,ATL
1999,NYM
1999,CLE
1999,TEX
1999,HOU
1999,ARI
1998,NYY
1998,CLE
1998,ATL
1998,BOS
1998,TEX
1998,CHC
1998,HOU
1997,MIA
1997,CLE
1997,BAL
1997,ATL
1997,NYY
1997,SEA
1997,SFG
1997,HOU
1996,NYY
1996,ATL
1996,BAL
1996,STL
1996,CLE
1996,TEX
1996,LAD
1996,SDP
1995,ATL
1995,CLE
1995,SEA
1995,CIN
1995,BOS
1995,NYY
1995,COL
1995,LAD
1993,TOR
1993,PHI
1993,CHW
1993,ATL
1992,TOR
1992,ATL
1992,OAK
1992,PIT
1991,MIN
1991,ATL
1991,TOR
1991,PIT
1990,TOR
1990,ATL
1990,OAK
1990,PIT
